Ítem,Total
HUEVOS BLANCO PRIMERA,351021
CRÉDITOS HIPOTECARIOS,260090
COBERTURA DISCO BLANCO CARAVELLA,235600
SUPERMERCADO LIDER,230664
GASOLINA,205000
SODIMAC,179191
HARINA FINA,163564
BRASIL MOGIANA GUAXUPE,160139
HARINA PANADERA FORTALEZA SAN CRISTOBAL,117074
"QUESO CREMA ""CREAMY SELECTION"" FLECHARD",93006
CREMA UHT SURLAT,91877
OTROS,87870
COBERTURA DISCO NEGRO CARAVELLA,86570
LECHE SIN LACTOSA COLUN,52672
POROTO ROJO AZUKI,50956
HARINA INTEGRAL HEREDIA,49318
QUESO GAUDA EN BARRA,47328
ACEITE DE OLIVA DELICATO,46498
LECHE ENTERA SOPROLE,43799
CREMA PARA BATIR SOPROLE,38900
LECHE LONCOLECHE SIN LACTOSA NATURAL ENTERA,36656
MARACUYÁ CON PEPA,35105
HARINA FINA 100% INTEGRAL WG,33602
ACEITE VEGETAL MERKAT,29280
MANTEQUILLA COLUN,28770
"MANJAR ""LOS ALERCES""",28470
SACO KRAFT CAFÉ TIPO 700 55 GR (PACK 500 UND),27069
POSTA NEGRA,25003
QUESO MOZZARELLA BARRA NOAL,24921
QUESO MOZZARELLA BARRA,24248
BOMBA DOSIFICADORA ROUTIN,23962
MAESTRA HORNEO,22280
ALULOSA DAILY,22049
ABARROTES EN GENERAL,21000
LECHE ENTERA SIN LACTOSA SURLAT,20998
MANTEQUILLA CALO,19907
SALSA DE CHOCOLATE GOURMET,19092
SYRUP CHOCOLATE ROUTIN,18366
SYRUP CHAI TEA ROUTIN,18366
SYRUP ALMENDRA ROUTIN,16988
SYRUP AVELLANA ROUTIN,16988
SYRUP VAINILLA ROUTIN,16988
SYRUP CARAMEL ROUTIN,16988
"AZÚCAR GRANULADA ""MERKAT""",15795
QUESO MANTECOSO DE VALDIVIA,15708
SACO KRAFT CAFÉ TIPO 400 55 GR (PACK 500 UND),15300
MANGO,14994
SACO CAFÉ T-400 (19X39 CM),14875
PACK BALIN SIFÓN OXIDO NITROSO  N2O 8 GRS,14691
"AZÚCAR GRANULADA ""LA PATRONA""",13398
VASO POLIPAPEL 360 CC (12OZ) BLANCO (PK100),13090
HORNITO HORNEO,13049
NEUCOBER BLANCO SUCEDÁNEO,12800
SALSA DE CARAMELO GOURMET,12727
COCA COLA LATA 350 CC,12180
SACO KRAFT CAFÉ TIPO 100 40 GR (PACK 1.000 UND),12109
CACAO AMARGO GENÉRICO,12000
GALLETA ÓREO,11604
LECHE ENTERA NATURAL SURLAT,11400
ACEITE DE OLIVA TRATTORIA,11240
CREMA LARGA VIDA SOPROLE,11100
PAPEL FOTOGRÁFICO ADHESIVO A4,11100
ALUSA FILM PVC 300 MTS,11000
BANDEJA RECTANGULAR 10 (PACK 100 UND),10988
"CACAO AMARGO EN POLVO ""EL JARDÍN""",10980
MANTEQUILLA SOPROLE,10596
ARROZ G2 LARGO MERKAT,10399
TOALLA PAPEL BLANCA 250 MTS (PACK 2 UND),10057
QUESO CREMA SWISS FARMERS,9925
TÉ MATCHA (FRASCO),9900
ACEITE DE OLIVA CHEF,9890
CAJA TORTA GRANDE BLANCA N°0,9599
FRAMBUESA,9520
MAYONESA,9500
POTE REDONDO REPOSTERÍA DE 7OZ,9372
SYRUP VAINILLA SIN AZÚCAR MONIN,9146
CANELA EN POLVO,8800
PURE DE CASTAÑAS,8578
SEMILLA AMAPOLA PELADA,8500
FILETILLO DE POLLO CONGELADO,8306
CHAMPIÑONES,8180
CACAO BASE CULINAR,8113
ACEITE DE OLIVA TALLIANI,7650
VASO PET 16OZ,7616
TAPA NEGRA VASO POLIPAPEL 360 - 500 CC/12 - 16 OZ (PK100),7164
SALAME AHUMADO ITALIANO,6775
MERMELADA WATTS GUINDA,6640
LECHE SIN LACTOSA DESCREMADA,6540
SPAGUETTI SAN REMO (PARMA),6177
YOGURT PROTEIN TROZO FRUTILLA SOPROLE,6082
BOLSA DE ASEO 70X90,6000
SAL LOBOS INDUSTRIAL,5990
SALSA DE FRAMBUESA GOURMET,5980
BANDEJA RECTANGULAR 6 (PACK 100 UND),5907
FOTOG A4 ADH,5550
LECHE EVAPORADA,5280
"CACAO AMARGO ""GOURMET""",5130
LAVALOZA SEMI INDUSTRIAL 5 LT (1X1),5100
MAICENA (ALMIDÓN DE MAÍZ),5052
NARANJA,4990
AZÚCAR LIGHT STEVIA,4949
TRUTRO ENTERO DE POLLO,4910
LECHE CONDENSADA,4890
GLUTEN EN POLVO,4800
SÉSAMO BLANCO,4800
AMARETTO MITJANS,4750
FILETE DE POLLO CONGELADO IQF SÚPER,4749
COCA COLA DESECHABLE (591CC),4740
SPRITE LATA,4739
PACK TOALLA MAXIROLL,4699
SALSA LUCCHETTI,4591
TOALLA PAPEL XL MA,4580
CREMA VEGETAL CUISINE,4499
ACEITE PARRAL,4349
POLENTA,4338
BANDEJA RECTANGULAR CARTÓN N°12,4313
VITAL 600 CC,4198
PALTA HASS PERUANA 1,4140
MAYONESA KRAFT DELI,4139
JAMÓN PIERNA ACARAMELADA,4028
COCA COLA ZERO LATA 350 CC,4017
CHUÑO D ALMACEN,3990
SALSA DE TOMATE SAN REMO ITALIANA (PARMA),3903
JUEGO DE BROCAS METAL 13PCS,3808
YOGURT PROTEIN VAINILLA SOPROLE,3761
YOGURT PROTEIN CHIRIMOYA SOPROLE,3761
SEMILLA AMAPOLA,3670
CACHANTÚN 500 CC,3613
TOALLA PREP. DOBLE HOJA 100MT OVELLA,3505
MASHMELLOW FOGATA,3500
JUEGO DE BROCAS PARED 8PCS,3451
GALLETAS ÓREO CACAO,3405
GUANTE VINILO BLANCO T-M,3400
SCHICK NEGRA PROMOCIÓN X 36,3389
CUCHARA DE MADERA (PK100),3308
CEBOLLA BLANCA,3272
LECHUGA HIDROPÓNICA,3180
BANDEJA RECTANGULAR CARTÓN N°13,3145
CUCHILLO MADERA,3124
TENEDOR MADERA (1X1000),3064
MORRÓN AMARILLO DESCARTE,3000
LECHE ENTERA LONCOLECHE,2995
"STONE GROUND MUSTARD ""GREAT VALUE""",2990
NARANJA DESCARTE,2916
"CREMA VEGETAL MONNA LISA ""MASTER MARTINI""",2891
LEVADURA INST (COLLICO),2891
MANTECA CRUCINA PANADERA,2720
SERVILLETA COCTEL,2580
MASA BURRITO PANCHO VILLA,2440
LINAZA ENTERA,2400
GALLETAS CARAMEL COSTA,2296
BANDEJA RECTANGULAR CARTULINA N°06,2259
AZUCAR FLOR,2200
FIDEO MERKAT,2160
KRAFT 70 OFICIO,2150
QUESO RALLADO PARMESANO COLÚN,2069
MOSTACCIOLI SAN REMO (PARMA),2053
PAPEL MANTEQUILLA 040GR  080X100CM  CMPC,2038
TRAPERO PARA PISOS MICROFIBRA 50X70,2028
CANADA DRY TÓNICA BOTELLA 1.5LT,1991
LACA GUTTCHEN AMARILLA,1990
SERVILLETA CLÁSICA,1980
GALLETA VAINILLA,1853
NECTAR SOPROLE 200 CC,1800
ESPONJA DE ACERO,1785
CEBOLLA DESCARTE,1777
PANITA DE POLLO SIN CORAZÓN,1757
MORRÓN ROJO DESCARTE,1750
TOMATE CHERRY,1620
ESCOBILLÓN CLÁSICO GRANDE (1X1),1570
PLÁTANO 1,1551
POLVOS DE HORNEAR,1391
ROLLS CROCANTE COSTA,1229
ROLLS NUTS COSTA,1229
ROLLS CRISPY COSTA,1229
BETARRAGA,1200
UVA BLANCA 1,1170
MORRÓN VERDE DESCARTE,1100
PLATANO DESCARTE,1038
APIO MATA,1031
MEMBRILLO DESCARTE,997
TOMATE 1,858
CEBOLLÍN DESCARTE,800
BERENJENA,800
ZANAHORIA,755
AVELLANAS,669
GALLETA CEREAL MIX AVENA,669
GALLETA CEREAL MIX CACAO,669
PERA VERDE DESCARTE,630
MERKEN EDRA,597
LIMÓN DESCARTE,595
BOLSA DE BASURA 50 X 65,560
TOMATE DESCARTE,531
GALLETA SUNY,530
LECHUGA CAROLA DESCARTE,500
ZANAHORIA DESCARTE,488
CUBRE VASO CAFÉ 360 CC (12/16 OZ) (1X1000),4
