Sección,Ítem,Cantidad,N° de transacciones,Total
Panadería de autor,Pan dulce relleno con diseño,3262.0,3035,9592000
Panadería artesanal,Ciabatta,522.0,344,783000
Otros bebestibles,Bebidas,231.0,221,342300
Panadería artesanal,Baguette,747.0,398,747000
Panadería artesanal,Marraqueta,232.257,288,510877
,Ley Redondeo,40.0,40,14
Panadería Japonesa,Korone pan,1559.0,1495,3257500
Panadería de autor,Pan dulce del día (diseño varía),1.0,1,1200
Galletas,Galletas con diseño,314.0,194,314000
Panadería artesanal,Focaccia,404.0,396,1602500
Preparaciones frías con té,Bubble Tea,217.0,209,992000
Frappé,Choco frappuccino,615.0,506,2460000
Ofertas,Korone pan (Oferta por Unidad),4.0,4,6000
Frappé,Caramel frappuccino,522.0,439,2088000
Café,Chocolate Caliente,440.0,361,1408000
Panadería Japonesa,Melonpan,1231.0,1142,2312200
Pastelería japonesa,Cotton Cheesecake,849.0,690,2476100
Pastelería tradicional,Tiramisu,652.0,638,2085300
Té - Infusiones,Chai Latte,230.0,202,805000
Pastelería tradicional,Carrot cake,861.0,750,2410800
Panadería de autor,Berlínes de osito,8.0,8,14400
Otros bebestibles,Agua mineral,126.0,124,200200
Café,Cappuccino,519.0,424,1557000
Pastelería japonesa,Dorayakis,735.0,715,1991000
Café,Latte,748.0,713,2718600
Pastelería tradicional,Torta de manjar y nueces,24.0,20,67600
Otros bebestibles,Aguas saborizadas,37.0,36,56700
Café,Americano,282.0,270,663500
Panadería Japonesa,Sausage pan,312.0,236,818700
Té - Infusiones,Té variedades,227.0,220,724500
Té - Infusiones,Matcha latte,380.0,363,1425400
Otros bebestibles,Café OKF,16.0,16,36100
Panadería artesanal,Batard,84.0,59,84000
Café,Espresso,60.0,57,120000
Otros bebestibles,Jugos,16.0,15,22300
Preparaciones frías con café,Iced latte,180.0,168,722300
Café,Mocaccino,186.0,166,595200
Ofertas,Oferta Melonpan,491.0,469,1702300
Pastelería de autor,Neko tiramisú,223.0,176,626600
Pastelería japonesa,Castella,53.0,45,79500
Café,Moca Latte,399.0,382,1597900
Pastelería tradicional,Eclairs,80.0,76,229500
Panadería artesanal,Pan molde,860.0,851,2535700
Panadería Japonesa,Anpan,73.0,59,136800
Panadería Japonesa,Yakisoba pan,24.0,22,84000
Otros bebestibles,Bebida pokémon,33.0,33,121800
Ofertas,Oferta pan dulce relleno con diseño,276.0,244,966000
Ofertas,Oferta korone pan,247.0,229,666900
Ofertas,Oferta frappuccino,11.0,5,35200
Preparaciones frías con té,Frappé,164.0,155,724000
Café,Flat White,84.0,76,260400
Panadería de autor,Berlín de osito,98.0,98,222400
Pastelería tradicional,Bruselina de canela y chocolate,183.0,165,515200
Panadería artesanal,Brioche,103.0,29,51500
Ofertas,Oferta berlin,10.0,7,28000
Ofertas,Oferta menú del día,93.0,66,755000
Panadería de autor,Pan viennoise,235.0,233,467200
Panadería de autor,Pan de osito,9.0,6,31500
Preparaciones frías con café,Espresso ginger,14.0,13,53200
Pastelería japonesa,Matcha roll cake,699.0,681,2337000
Sandwich,En pan baguette,22.0,21,92400
Pastelería tradicional,Roll cake,4.0,4,17500
Pastelería tradicional,Chocolate manjar,6.0,4,16800
Pastelería japonesa,Mochis,20.0,20,41800
Ofertas,Oferta pan viennoise,36.0,35,97200
Panadería artesanal,Batard multigranos,13.0,10,20800
Pastelería x mayor,Tiramisú sin azúcar x 12,16.0,12,408130
Pastelería x mayor,Panqueque naranja chocolate x8,1.0,1,15790
Panadería x mayor,Pan molde multigranos x mayor,85.0,32,196900
Panadería x mayor,Ciabattas x mayor,296.0,36,251600
Panadería x mayor,Batards x mayor,211.0,29,179350
Panadería x mayor,Pan molde blanco x mayor,8.0,5,12800
Panadería x mayor,Pan molde integral x mayor,225.0,40,360000
Pastelería tradicional,Selva negra,5.0,5,14000
Ofertas,Oferta ciabatta,51.0,48,134300
Pastelería tradicional,Bruselina de canela y chocolate stevia,5.0,5,16000
Pastelería x mayor,Tiramisu stevia x 20,76.0,74,3095740
Pastelería x mayor,Matcha roll cake x mayor,23.0,8,294000
Pastelería tradicional,Torta de chocolate naranja,10.0,10,28000
Ofertas,Oferta cappuccino + pan dulce relleno,1.0,1,4000
Ofertas,Oferta Chocolate caliente,2.0,2,5800
Panadería x mayor,Pan molde blanco grande x mayor,18.0,14,42840
Panadería x mayor,Pan molde linaza x mayor,38.0,14,87400
Galletas,Galletas de mantequilla,4.0,4,6000
Arcade,Monedas arcade,7.0,2,700
Ofertas,Croquembouche,4.0,3,40000
Ofertas,Oferta baguette,19.0,16,30400
Ofertas,Oferta marraquetas,5.0,5,7500
Ofertas,Oferta Pan molde frio,9.0,9,17200
Panadería Japonesa,Curry pan,177.0,172,816000
Preparaciones frías con café,Cold brew,2.0,2,6000
Té - Infusiones,Hojicha latte,39.0,38,140300
Ofertas,Oferta bolsita de dulces,1.0,1,5000
Sandwich,En pan brioche,14.0,14,58500
Pastelería de autor,Matcha tiramisú,26.0,22,72800
Pastelería japonesa,Cotton Cheesecake xl,8.0,8,47200
Ofertas,Oferta Chocolate caliente 2x1,236.0,226,755200
,Reparto,2.0,2,4000
Ofertas,Oferta Melonpan x 4 und,15.0,15,64500
Preparaciones frías con café,Espresso tonic,4.0,4,15200
Ofertas,Oferta Sausage pan,4.0,3,16000
Ofertas,SANDWICH DEL DÍA,18.0,10,82500
,Reparto PedidosYa,11.0,11,36725
Ofertas,Oferta cappuccino + melonpan,5.0,5,20000
Ofertas,Oferta Mocaccino,1.0,1,2900
Panadería de autor,Donas de osito,97.0,95,205600
Panadería Japonesa,Brioche pan,36.0,31,100800
Ofertas,Oferta Cappuccino,1.0,1,3000
Panadería de autor,Cinnamon roll,77.0,71,192500
Ofertas,Oferta Cinnamon roll,16.0,15,64000
Ofertas,Oferta donas de osito,6.0,6,18000
OTROS,Leche sola,6.0,6,3000
Panadería x mayor,Baguette x mayor,60.0,11,51000
Otros métodos de preparación,V60,6.0,6,18000
Panadería Japonesa,Choco chips Melonpan,278.0,234,396100
Panadería Japonesa,Melonpan de canela,186.0,171,264700
Panadería de autor,Brioche Bretón,64.0,61,192000
Pastelería tradicional,Torta naranja chocolate,3.0,3,8600
Ofertas,Frappuccino oferta,37.0,35,222000
Café,LATTE ART 3D,3.0,3,2100
Panadería de autor,Pajaritos,184.0,97,220800
Panadería de autor,OFERTA Pajaritos,14.0,13,56000
Ofertas,Tokyo box,82.0,79,615000
Panadería de autor,Empanadas de horno,88.0,23,228800
