id,fecha_ingreso,fecha_completado,duracion,dia_semana,semana,operador,cliente,correo,telefono,tipo_venta,producto,seccion,comentario_item,precio,descuento,comentario_pedido
6,14:46 08/04/2024,14:55 08/04/2024,00:09:03,lunes,14,Sucursal Jaime Repullo 2996 Talcahuano,,,,Llevar,Pan dulce relleno con diseño,Panadería de autor,Neko pan,2000,0,
7,15:18 08/04/2024,15:24 08/04/2024,00:05:32,lunes,14,Sucursal Jaime Repullo 2996 Talcahuano,,,,Llevar,Ciabatta,Panadería artesanal,,1500,0,
7,15:18 08/04/2024,15:24 08/04/2024,00:05:32,lunes,14,Sucursal Jaime Repullo 2996 Talcahuano,,,,Llevar,Ciabatta,Panadería artesanal,,1500,0,
8,15:35 08/04/2024,15:36 08/04/2024,00:00:30,lunes,14,Sucursal Jaime Repullo 2996 Talcahuano,,,,Servir,Bebidas,Otros bebestibles,Coca cola lata zero,1300,0,
9,16:37 08/04/2024,16:57 08/04/2024,00:19:55,lunes,14,Sucursal Jaime Repullo 2996 Talcahuano,,,,Llevar,Baguette,Panadería artesanal,,1000,0,
9,16:37 08/04/2024,16:57 08/04/2024,00:19:55,lunes,14,Sucursal Jaime Repullo 2996 Talcahuano,,,,Llevar,Baguette,Panadería artesanal,,1000,0,
9,16:37 08/04/2024,16:57 08/04/2024,00:19:55,lunes,14,Sucursal Jaime Repullo 2996 Talcahuano,,,,Llevar,Pan dulce relleno con diseño,Panadería de autor,"Neko pan, Neko pan",4000,0,
10,16:52 08/04/2024,16:57 08/04/2024,00:04:40,lunes,14,Sucursal Jaime Repullo 2996 Talcahuano,,,,Llevar,Marraqueta,Panadería artesanal,,629,0,
11,16:56 08/04/2024,16:57 08/04/2024,00:00:43,lunes,14,Sucursal Jaime Repullo 2996 Talcahuano,,,,Servir,Ciabatta,Panadería artesanal,,1500,0,
11,16:56 08/04/2024,16:57 08/04/2024,00:00:43,lunes,14,Sucursal Jaime Repullo 2996 Talcahuano,,,,Servir,Marraqueta,Panadería artesanal,,668,0,
